Animal,Leaving 1,Leaving 2,Type
Alligator,Claw,Fang,TW
Apkallu,Fleece,Egg,C
Apkallu of Paradise,Egg,Fleece,T
Aurochs,Milk,Horn,C
Beachcomb,Carapace,Claw,TW
Black Chocobo,Feather,Fur,W
Blue Back,Egg,Feather,C
Chocobo,Fur,Feather,C
Coblyn,Fang,Carapace,C
Dodo,Egg,Feather,C
Dodo of Paradise,Feather,Egg,T
Glyptodon,Claw,Carapace,T
Glyptodon Pup,Carapace,Claw,C
Goobue,Fang,Claw,TW
Gold Back,Feather,Egg,W
Grand Buffalo,Horn,Milk,W
Ground Squirrel,Claw,Fur,C
Island Billy,Horn,Fleece,T
Island Doe,Fur,Milk,C
Island Nanny,Milk,Horn,C
Island Stag,Fur,Horn,T
Lemur,Fur,Claw,T
Lost Lamb,Fleece,Milk,C
Opo-Opo,Claw,Fur,C
Ornery Karakul,Milk,Fleece,W
Paissa,Claw,Fleece,TW
Star Marmot,Fur,Claw,T
Twinklefleece,Fleece,Fur,TW
Yellow Coblyn,Carapace,Fang,W
Griffin,Feather,Claw,TW
Tiger,Fang,Fur,TW
Morbol Seedling,Carapace,Fang,TW
Quartz Spriggan,Fang,Fur,C
Amethyst Spriggan,Fur,Fang,T
Wild Boar,Fang,Horn,C
Rare Boar,Horn,Fang,W
Weird Spriggan,Fang,Fur,TW
Funguar,Fleece,Fur,TW
Alkonost,Feather,Egg,TW
Morbol,Fang,Carapace,TW
Adamantoise,Carapace,Claw,TW
Pteranodon,Claw,Horn,TW
Grand Doblyn,Fang,Carapace,TW
